S/N,Institution,Inst. Code,Region,District,Location,Gender,No. of Programs,Programs (Code - Name),Status
1,"TSC Technical Institute, Goaso",9060400,Ahafo,Asunafo North,Goaso,Mixed,5,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day/Boarding
2,Fawohoyeden Technical Institute,9061400,Ahafo,Asunafo North,Fawohoyeden,Mixed,6,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
614 - COMPUTER HARDWARE & SOFTWARE
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
3,Gyedu Technical Institute,9062400,Ahafo,Asutifi North,Gyedu,Mixed,7,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
4,Bechem Technical Institute,9060802,Ahafo,Tano South,Bechem,Mixed,13,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
618 - SOFTWARE DEVELOPMENT (CBT OPTION, FOR GIRLS ONLY)
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
5,Yamfo Technical Institute,9060200,Ahafo,Tano North,Yamfo,Mixed,6,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
6,"TSC Technical Institute, Bechem",9060800,Ahafo,Tano South,Bechem,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day/boarding
7,Akrodie Technical Institute,9060139,Ahafo,Asunafo North,Akrodie,Mixed,4,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day/Boarding
8,Adrobaa Technical Institute,9060201,Ahafo,Tano North,Adrobaa,Mixed,3,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day/ Boarding
9,Kwapong Technical Institute,9063011,Ahafo,Asunafo South,Kwapong,Mixed,6,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/ Boarding
10,Islamic Mission Technical Institute,9060205,Ahafo,Tano North,"Duayaw Nkwanta, Koforidua",Mixed,4,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
708 - BUILDING CONS. TECH. (CBT OPTION)
802 - GARMENT / FASHION TECH.",Day/ Boarding
